subscription_id,customer_id,plan,billing_period,amount,mrr_amount,status,started_at,cancelled_at,seats
413,239,growth,monthly,199.0,199.0,cancelled,2026-06-22,2026-10-05,4
414,414,starter,monthly,49.0,49.0,active,2025-07-06,,5
415,247,scale,annual,5389.2,449.1,active,2026-06-02,,24
416,247,growth,annual,2149.2,179.1,cancelled,2025-05-19,2025-12-24,34
417,265,enterprise,monthly,1500.0,1500.0,active,2025-07-01,,26
418,251,scale,annual,5389.2,449.1,active,2025-05-24,,37
419,447,starter,annual,529.2,44.1,cancelled,2026-03-31,2027-02-09,41
420,451,growth,annual,2149.2,179.1,active,2026-04-15,,14
421,397,growth,monthly,199.0,199.0,active,2025-01-22,,26
422,294,growth,monthly,199.0,199.0,active,2025-07-16,,4
423,57,growth,monthly,199.0,199.0,active,2026-07-23,,6
424,169,scale,monthly,499.0,499.0,active,2025-11-18,,37
425,71,scale,monthly,499.0,499.0,active,2025-04-18,,44
426,21,starter,monthly,49.0,49.0,trialing,2025-05-10,,28
427,317,starter,monthly,49.0,49.0,past_due,2025-10-10,,36
428,150,starter,monthly,49.0,49.0,trialing,2025-05-09,,48
429,40,growth,annual,2149.2,179.1,cancelled,2025-09-22,2026-08-24,4
430,109,growth,monthly,199.0,199.0,active,2025-12-23,,36
431,34,growth,monthly,199.0,199.0,active,2025-10-10,,31
432,65,growth,monthly,199.0,199.0,active,2025-12-20,,46
433,249,scale,monthly,499.0,499.0,active,2025-02-04,,15
434,337,starter,monthly,49.0,49.0,active,2025-11-03,,32
435,395,growth,monthly,199.0,199.0,active,2025-02-03,,42
436,198,scale,monthly,499.0,499.0,active,2026-02-25,,25
437,371,starter,monthly,49.0,49.0,active,2025-11-15,,14
438,48,starter,annual,529.2,44.1,cancelled,2026-01-22,2026-07-09,47
439,65,growth,monthly,199.0,199.0,trialing,2025-07-23,,8
440,164,starter,monthly,49.0,49.0,active,2025-05-02,,41
441,319,growth,annual,2149.2,179.1,active,2026-02-16,,42
442,71,enterprise,monthly,1500.0,1500.0,active,2025-02-03,,2
443,1,starter,monthly,49.0,49.0,cancelled,2025-10-21,2026-05-24,18
444,300,enterprise,annual,16200.0,1350.0,active,2025-06-13,,29
445,204,starter,monthly,49.0,49.0,cancelled,2025-08-04,2025-10-01,5
446,214,growth,monthly,199.0,199.0,active,2025-09-19,,8
447,211,starter,monthly,49.0,49.0,cancelled,2025-10-06,2026-02-15,17
448,468,scale,annual,5389.2,449.1,cancelled,2025-05-07,2025-09-29,47
449,58,enterprise,annual,16200.0,1350.0,active,2025-03-18,,21
450,305,starter,annual,529.2,44.1,trialing,2025-10-20,,34
451,384,enterprise,monthly,1500.0,1500.0,active,2025-06-21,,30
452,383,scale,monthly,499.0,499.0,active,2025-01-23,,23
453,43,enterprise,annual,16200.0,1350.0,active,2026-06-05,,5
454,168,growth,monthly,199.0,199.0,active,2025-10-17,,48
455,481,growth,annual,2149.2,179.1,trialing,2025-02-24,,27
456,378,enterprise,annual,16200.0,1350.0,active,2025-08-02,,17
457,462,scale,monthly,499.0,499.0,past_due,2025-03-14,,22
458,368,scale,monthly,499.0,499.0,cancelled,2026-08-06,2027-08-14,22
459,35,starter,monthly,49.0,49.0,cancelled,2025-10-21,2026-09-30,48
460,496,starter,monthly,49.0,49.0,active,2026-06-17,,20
461,418,growth,monthly,199.0,199.0,active,2025-07-27,,49
462,331,starter,monthly,49.0,49.0,past_due,2026-08-01,,7
463,1,growth,monthly,199.0,199.0,active,2026-07-21,,10
464,459,scale,monthly,499.0,499.0,trialing,2026-02-04,,8
465,446,growth,monthly,199.0,199.0,active,2025-09-12,,47
466,434,enterprise,monthly,1500.0,1500.0,active,2026-08-13,,29
467,150,starter,monthly,49.0,49.0,trialing,2025-12-14,,25
468,460,starter,annual,529.2,44.1,cancelled,2025-04-26,2025-10-09,4
469,5,starter,monthly,49.0,49.0,active,2025-02-12,,9
470,287,enterprise,annual,16200.0,1350.0,cancelled,2025-11-20,2026-02-21,46
471,385,growth,monthly,199.0,199.0,active,2025-05-31,,48
472,112,enterprise,annual,16200.0,1350.0,active,2026-03-28,,17
473,484,starter,monthly,49.0,49.0,active,2025-11-30,,35
474,293,starter,monthly,49.0,49.0,trialing,2025-10-20,,16
475,82,scale,monthly,499.0,499.0,trialing,2025-06-21,,48
476,461,growth,annual,2149.2,179.1,past_due,2025-05-10,,7
477,64,growth,monthly,199.0,199.0,active,2025-05-03,,5
478,487,growth,monthly,199.0,199.0,cancelled,2026-02-01,2026-05-02,18
479,490,growth,monthly,199.0,199.0,active,2026-04-21,,9
480,474,scale,monthly,499.0,499.0,active,2026-08-13,,34
481,162,starter,monthly,49.0,49.0,cancelled,2026-02-15,2026-09-22,45
482,221,starter,monthly,49.0,49.0,active,2025-11-14,,47
483,379,starter,annual,529.2,44.1,active,2026-02-23,,49
484,403,growth,monthly,199.0,199.0,cancelled,2025-05-31,2026-06-14,10
485,105,scale,monthly,499.0,499.0,cancelled,2026-06-17,2027-02-23,3
486,245,growth,monthly,199.0,199.0,active,2025-01-25,,9
487,193,enterprise,monthly,1500.0,1500.0,cancelled,2026-07-04,2026-12-27,38
488,346,growth,annual,2149.2,179.1,trialing,2025-03-05,,7
489,387,growth,annual,2149.2,179.1,active,2026-07-29,,34
490,216,growth,annual,2149.2,179.1,cancelled,2026-04-17,2027-03-19,29
491,446,scale,monthly,499.0,499.0,active,2025-09-12,,39
492,152,starter,monthly,49.0,49.0,active,2025-10-22,,6
493,379,growth,annual,2149.2,179.1,active,2025-06-28,,22
494,221,growth,monthly,199.0,199.0,active,2025-05-07,,5
495,53,enterprise,annual,16200.0,1350.0,cancelled,2025-07-10,2026-02-03,2
496,154,starter,monthly,49.0,49.0,active,2026-06-07,,37
497,419,starter,monthly,49.0,49.0,active,2025-06-04,,28
498,212,growth,annual,2149.2,179.1,active,2025-09-22,,39
499,395,growth,annual,2149.2,179.1,cancelled,2026-02-21,2026-06-11,4
500,339,starter,annual,529.2,44.1,active,2026-04-29,,16
501,207,growth,annual,2149.2,179.1,active,2025-07-04,,7
502,101,growth,monthly,199.0,199.0,trialing,2026-05-08,,29
503,362,starter,monthly,49.0,49.0,active,2025-04-17,,28
504,339,growth,monthly,199.0,199.0,cancelled,2026-03-12,2027-02-12,37
505,157,starter,monthly,49.0,49.0,active,2025-03-08,,5
506,37,scale,monthly,499.0,499.0,active,2026-08-14,,3
507,195,starter,monthly,49.0,49.0,active,2025-03-02,,42
508,1,growth,annual,2149.2,179.1,past_due,2026-06-29,,32
509,387,growth,annual,2149.2,179.1,cancelled,2026-04-07,2027-04-09,6
510,117,starter,monthly,49.0,49.0,active,2025-03-18,,15
511,197,scale,monthly,499.0,499.0,cancelled,2026-04-16,2026-08-30,21
512,102,growth,annual,2149.2,179.1,cancelled,2025-07-28,2026-08-24,21
513,458,starter,annual,529.2,44.1,active,2026-08-20,,36
514,417,enterprise,monthly,1500.0,1500.0,active,2026-08-03,,18
515,468,scale,monthly,499.0,499.0,active,2026-07-18,,30
516,379,scale,monthly,499.0,499.0,active,2026-02-02,,36
517,62,growth,annual,2149.2,179.1,cancelled,2026-06-29,2027-02-09,5
518,334,growth,annual,2149.2,179.1,cancelled,2025-09-27,2026-01-24,23
519,229,starter,monthly,49.0,49.0,cancelled,2025-02-05,2026-01-21,13
520,354,starter,monthly,49.0,49.0,cancelled,2026-06-08,2026-08-29,38
521,347,growth,monthly,199.0,199.0,cancelled,2025-01-29,2025-06-02,7
522,332,scale,monthly,499.0,499.0,cancelled,2026-01-23,2026-07-07,16
523,314,growth,monthly,199.0,199.0,trialing,2025-11-25,,31
524,414,scale,annual,5389.2,449.1,active,2025-08-13,,27
525,436,starter,monthly,49.0,49.0,cancelled,2026-03-25,2027-03-20,2
526,267,starter,monthly,49.0,49.0,cancelled,2025-06-14,2026-06-30,45
527,1,growth,annual,2149.2,179.1,active,2026-07-20,,4
528,9,scale,annual,5389.2,449.1,active,2026-06-01,,22
529,18,starter,monthly,49.0,49.0,cancelled,2026-07-12,2026-10-20,3
530,432,starter,annual,529.2,44.1,active,2026-05-29,,29
531,228,scale,monthly,499.0,499.0,active,2026-05-17,,18
532,236,growth,monthly,199.0,199.0,active,2026-07-12,,33
533,142,starter,monthly,49.0,49.0,active,2026-07-12,,31
534,465,growth,annual,2149.2,179.1,active,2026-04-22,,45
535,120,enterprise,monthly,1500.0,1500.0,active,2026-04-30,,3
536,447,growth,monthly,199.0,199.0,cancelled,2025-04-23,2025-05-28,32
537,336,scale,monthly,499.0,499.0,active,2025-04-16,,17
538,200,starter,annual,529.2,44.1,active,2025-08-24,,31
539,331,growth,annual,2149.2,179.1,active,2025-08-11,,48
540,467,starter,annual,529.2,44.1,active,2025-07-19,,41
541,33,enterprise,monthly,1500.0,1500.0,active,2025-06-30,,48
542,30,starter,annual,529.2,44.1,cancelled,2025-06-06,2026-05-18,49
543,86,enterprise,monthly,1500.0,1500.0,active,2025-12-11,,39
544,332,growth,annual,2149.2,179.1,active,2026-04-28,,45
545,263,growth,monthly,199.0,199.0,active,2026-05-07,,34
546,341,growth,monthly,199.0,199.0,trialing,2025-03-17,,7
547,203,starter,annual,529.2,44.1,trialing,2025-11-25,,44
548,421,starter,annual,529.2,44.1,cancelled,2025-10-18,2026-06-02,34
549,235,starter,monthly,49.0,49.0,active,2026-05-01,,43
550,236,scale,monthly,499.0,499.0,active,2026-06-10,,17
551,241,scale,monthly,499.0,499.0,active,2025-07-21,,29
552,121,enterprise,monthly,1500.0,1500.0,active,2026-04-24,,21
553,488,starter,monthly,49.0,49.0,cancelled,2025-12-28,2026-06-21,1
554,23,scale,monthly,499.0,499.0,active,2025-06-12,,32
555,13,starter,monthly,49.0,49.0,trialing,2025-12-07,,15
556,234,growth,monthly,199.0,199.0,cancelled,2025-01-22,2025-02-23,8
557,345,starter,monthly,49.0,49.0,trialing,2025-02-02,,11
558,227,enterprise,monthly,1500.0,1500.0,past_due,2025-09-09,,34
559,396,growth,monthly,199.0,199.0,active,2026-08-05,,35
560,179,growth,annual,2149.2,179.1,cancelled,2025-12-27,2026-08-16,15
561,116,starter,monthly,49.0,49.0,cancelled,2026-02-12,2026-05-02,17
562,319,growth,annual,2149.2,179.1,active,2026-06-03,,41
563,123,starter,annual,529.2,44.1,active,2025-09-30,,24
564,266,growth,monthly,199.0,199.0,active,2025-11-17,,19
565,319,growth,monthly,199.0,199.0,active,2025-06-19,,42
566,58,starter,monthly,49.0,49.0,active,2025-06-11,,3
567,115,starter,monthly,49.0,49.0,active,2026-07-12,,34
568,25,starter,monthly,49.0,49.0,active,2026-02-24,,30
569,106,growth,monthly,199.0,199.0,active,2025-03-22,,20
570,446,starter,annual,529.2,44.1,cancelled,2025-09-01,2026-04-23,37
571,7,starter,monthly,49.0,49.0,active,2026-04-14,,14
572,372,starter,monthly,49.0,49.0,cancelled,2026-05-16,2026-08-10,31
573,89,starter,annual,529.2,44.1,trialing,2026-02-05,,13
574,232,growth,monthly,199.0,199.0,active,2025-01-15,,39
575,4,growth,monthly,199.0,199.0,active,2025-08-16,,21
576,249,starter,monthly,49.0,49.0,active,2025-09-12,,40
577,467,growth,monthly,199.0,199.0,cancelled,2025-04-21,2025-08-04,29
578,58,growth,monthly,199.0,199.0,past_due,2025-09-14,,3
579,156,starter,monthly,49.0,49.0,active,2025-08-12,,31
580,132,enterprise,monthly,1500.0,1500.0,cancelled,2025-12-23,2026-03-09,1
581,352,growth,monthly,199.0,199.0,active,2025-07-09,,36
582,413,growth,monthly,199.0,199.0,cancelled,2025-08-06,2025-11-08,11
583,136,growth,monthly,199.0,199.0,active,2026-06-12,,49
584,64,growth,monthly,199.0,199.0,active,2025-09-02,,12
585,445,starter,monthly,49.0,49.0,trialing,2025-04-26,,23
586,53,starter,monthly,49.0,49.0,active,2026-03-23,,28
587,430,scale,annual,5389.2,449.1,active,2025-06-09,,7
588,280,enterprise,monthly,1500.0,1500.0,cancelled,2025-04-14,2026-01-28,12
589,391,enterprise,monthly,1500.0,1500.0,active,2026-04-09,,48
590,421,growth,monthly,199.0,199.0,trialing,2025-05-25,,18
591,346,enterprise,monthly,1500.0,1500.0,active,2025-01-05,,38
592,190,scale,annual,5389.2,449.1,active,2025-03-04,,23
593,162,growth,annual,2149.2,179.1,active,2026-03-28,,11
594,323,enterprise,monthly,1500.0,1500.0,active,2025-06-06,,30
595,258,enterprise,monthly,1500.0,1500.0,active,2025-08-28,,7
596,452,growth,monthly,199.0,199.0,active,2025-11-03,,49
597,382,scale,annual,5389.2,449.1,cancelled,2025-06-18,2026-04-07,34
598,446,scale,annual,5389.2,449.1,active,2025-04-25,,34
599,199,growth,monthly,199.0,199.0,cancelled,2025-02-12,2025-08-30,2
600,234,growth,monthly,199.0,199.0,active,2025-02-14,,14
601,441,starter,monthly,49.0,49.0,cancelled,2026-07-10,2027-06-10,19
602,148,enterprise,monthly,1500.0,1500.0,cancelled,2026-08-28,2027-09-17,18
603,413,starter,monthly,49.0,49.0,cancelled,2026-01-24,2026-04-14,6
604,287,starter,annual,529.2,44.1,active,2025-10-04,,3
605,209,starter,monthly,49.0,49.0,cancelled,2026-05-08,2026-08-31,30
606,463,starter,annual,529.2,44.1,cancelled,2026-05-20,2027-03-24,21
607,133,starter,monthly,49.0,49.0,trialing,2025-09-26,,12
608,341,starter,monthly,49.0,49.0,active,2026-03-25,,29
609,178,scale,monthly,499.0,499.0,cancelled,2025-02-28,2025-11-02,49
610,478,growth,monthly,199.0,199.0,active,2025-04-11,,47
611,274,enterprise,monthly,1500.0,1500.0,trialing,2026-05-29,,44
612,290,scale,monthly,499.0,499.0,active,2025-11-07,,14
613,159,growth,monthly,199.0,199.0,active,2026-05-10,,9
614,11,starter,monthly,49.0,49.0,past_due,2025-12-11,,12
615,496,starter,annual,529.2,44.1,active,2025-03-12,,16
616,224,enterprise,annual,16200.0,1350.0,cancelled,2025-04-06,2025-09-03,1
617,331,growth,annual,2149.2,179.1,active,2025-11-20,,16
618,452,scale,monthly,499.0,499.0,trialing,2025-03-09,,29
619,177,enterprise,monthly,1500.0,1500.0,active,2026-05-29,,13
620,17,starter,monthly,49.0,49.0,active,2025-06-09,,49
621,391,enterprise,monthly,1500.0,1500.0,cancelled,2026-02-27,2026-10-29,42
622,309,scale,monthly,499.0,499.0,active,2025-06-08,,19
623,322,growth,monthly,199.0,199.0,active,2026-04-16,,21
624,189,enterprise,monthly,1500.0,1500.0,cancelled,2025-06-18,2026-02-22,25
625,455,growth,monthly,199.0,199.0,active,2025-11-10,,17
626,202,starter,monthly,49.0,49.0,active,2025-06-03,,3
627,18,starter,annual,529.2,44.1,active,2026-06-16,,19
628,284,scale,monthly,499.0,499.0,active,2025-11-28,,28
629,389,scale,monthly,499.0,499.0,trialing,2025-11-14,,13
630,206,starter,monthly,49.0,49.0,cancelled,2025-06-28,2026-03-04,11
631,228,starter,annual,529.2,44.1,past_due,2025-04-22,,26
632,461,starter,monthly,49.0,49.0,cancelled,2026-04-14,2026-11-27,1
633,294,growth,annual,2149.2,179.1,past_due,2025-02-02,,37
634,152,growth,monthly,199.0,199.0,active,2025-02-01,,34
635,181,scale,monthly,499.0,499.0,cancelled,2026-02-02,2026-03-15,48
636,380,starter,monthly,49.0,49.0,trialing,2026-01-13,,8
637,374,starter,monthly,49.0,49.0,cancelled,2025-07-18,2026-05-19,40
638,47,starter,monthly,49.0,49.0,trialing,2026-04-14,,5
639,387,enterprise,monthly,1500.0,1500.0,past_due,2025-02-06,,38
640,167,growth,monthly,199.0,199.0,active,2025-09-23,,12
641,67,starter,monthly,49.0,49.0,active,2026-07-05,,41
642,79,starter,monthly,49.0,49.0,active,2025-07-13,,7
643,442,starter,monthly,49.0,49.0,past_due,2026-04-22,,40
644,110,scale,annual,5389.2,449.1,trialing,2025-07-03,,31
645,257,growth,annual,2149.2,179.1,active,2025-05-21,,3
646,283,scale,monthly,499.0,499.0,active,2025-07-18,,14
647,250,starter,annual,529.2,44.1,active,2025-06-26,,24
648,172,growth,monthly,199.0,199.0,active,2025-03-13,,33
649,13,growth,annual,2149.2,179.1,active,2026-07-07,,37
650,25,starter,annual,529.2,44.1,trialing,2025-12-19,,27
651,241,starter,monthly,49.0,49.0,active,2026-08-07,,34
652,432,starter,monthly,49.0,49.0,cancelled,2026-01-14,2026-04-23,18
653,422,scale,annual,5389.2,449.1,cancelled,2026-06-26,2027-02-11,17
654,338,growth,monthly,199.0,199.0,cancelled,2025-08-25,2026-04-09,10
655,142,growth,monthly,199.0,199.0,active,2025-04-25,,33
656,478,growth,annual,2149.2,179.1,active,2026-08-04,,33
657,192,starter,monthly,49.0,49.0,active,2026-05-16,,45
658,401,scale,monthly,499.0,499.0,active,2026-07-08,,26
659,69,scale,monthly,499.0,499.0,active,2026-07-15,,31
660,280,starter,annual,529.2,44.1,active,2025-06-30,,36
661,110,scale,monthly,499.0,499.0,cancelled,2025-11-28,2026-01-31,43
662,231,starter,annual,529.2,44.1,active,2026-03-21,,25
663,391,growth,monthly,199.0,199.0,active,2026-06-18,,37
664,474,growth,monthly,199.0,199.0,active,2025-03-12,,40
665,34,scale,monthly,499.0,499.0,active,2026-07-20,,29
666,212,starter,monthly,49.0,49.0,active,2026-04-05,,27
667,37,starter,monthly,49.0,49.0,active,2025-10-15,,33
668,273,enterprise,monthly,1500.0,1500.0,active,2026-03-23,,40
669,498,enterprise,monthly,1500.0,1500.0,active,2025-06-21,,28
670,167,scale,monthly,499.0,499.0,active,2025-08-05,,27
671,191,starter,monthly,49.0,49.0,active,2025-05-02,,11
672,141,growth,annual,2149.2,179.1,active,2025-08-23,,48
673,424,growth,annual,2149.2,179.1,active,2025-07-07,,3
674,423,starter,monthly,49.0,49.0,cancelled,2025-12-22,2026-05-07,42
675,405,starter,annual,529.2,44.1,cancelled,2025-09-21,2026-02-01,19
676,124,scale,monthly,499.0,499.0,cancelled,2025-06-20,2025-10-02,13
677,109,starter,annual,529.2,44.1,active,2025-08-23,,12
678,73,starter,annual,529.2,44.1,active,2025-12-14,,36
679,95,starter,monthly,49.0,49.0,active,2026-04-27,,15
680,365,growth,annual,2149.2,179.1,active,2026-06-23,,7
681,274,scale,monthly,499.0,499.0,cancelled,2025-06-10,2025-12-04,23
682,421,starter,annual,529.2,44.1,cancelled,2025-09-28,2026-02-13,45
683,329,scale,monthly,499.0,499.0,cancelled,2026-03-09,2026-11-05,43
684,464,starter,monthly,49.0,49.0,cancelled,2025-05-04,2025-06-25,17
685,27,starter,annual,529.2,44.1,cancelled,2026-03-23,2026-06-23,32
686,334,starter,annual,529.2,44.1,cancelled,2025-12-05,2026-07-13,24
687,60,growth,monthly,199.0,199.0,trialing,2025-03-25,,20
688,175,enterprise,monthly,1500.0,1500.0,active,2026-02-01,,2
689,228,scale,monthly,499.0,499.0,active,2025-04-08,,8
690,256,starter,annual,529.2,44.1,active,2025-11-16,,43
691,106,enterprise,monthly,1500.0,1500.0,active,2025-07-08,,48
692,94,growth,annual,2149.2,179.1,active,2025-01-15,,47
693,75,growth,monthly,199.0,199.0,cancelled,2026-02-14,2026-07-18,47
694,107,enterprise,monthly,1500.0,1500.0,active,2026-02-11,,24
695,346,scale,monthly,499.0,499.0,active,2025-06-15,,4
696,449,scale,monthly,499.0,499.0,active,2025-01-23,,10
697,171,starter,monthly,49.0,49.0,active,2026-06-20,,39
698,425,starter,monthly,49.0,49.0,active,2025-09-11,,34
699,408,scale,monthly,499.0,499.0,active,2026-06-03,,49
700,140,growth,monthly,199.0,199.0,active,2025-09-09,,15
