pickup_id,pickup_date,product,product_amount,unit,carrier,carrier_appointment_time,carrier_arrival_time,carrier_departure_time
PU-1194,2026-08-14,Vinyl Gloves Box-100,315,cases,XPO,2026-08-14 06:00,2026-08-14 06:21,2026-08-14 07:28
PU-1195,2026-08-14,Bottled Water 24-Pack,44,cases,Dayton Freight,2026-08-14 06:30,2026-08-14 07:58,2026-08-14 09:01
PU-1196,2026-08-14,Dog Food 30lb Bags,12,pallets,R+L Carriers,2026-08-14 06:30,2026-08-14 06:30,2026-08-14 07:27
PU-1197,2026-08-14,Dog Food 30lb Bags,20,pallets,Knight-Swift,2026-08-14 07:00,2026-08-14 06:36,2026-08-14 07:39
PU-1198,2026-08-14,Microwave Ovens 1.1cu ft,116,units,XPO,2026-08-14 08:30,2026-08-14 08:26,2026-08-14 09:29
PU-1199,2026-08-14,Bottled Water 24-Pack,171,cases,Knight-Swift,2026-08-14 09:30,2026-08-14 09:24,2026-08-14 10:24
PU-1200,2026-08-14,HVAC Air Filters 20x20,89,cases,Averitt Express,2026-08-14 11:00,2026-08-14 13:14,2026-08-14 13:41
PU-1201,2026-08-14,Garden Hoses 50ft,59,units,J.B. Hunt,2026-08-14 12:00,2026-08-14 11:42,2026-08-14 12:12
PU-1202,2026-08-14,Office Chairs,101,units,R+L Carriers,2026-08-14 12:30,2026-08-14 11:29,2026-08-14 11:57
PU-1203,2026-08-17,Dog Food 30lb Bags,5,pallets,R+L Carriers,2026-08-17 07:00,2026-08-17 07:05,2026-08-17 08:00
PU-1204,2026-08-17,Motor Oil 5qt,277,cases,Dayton Freight,2026-08-17 09:00,2026-08-17 08:28,2026-08-17 09:30
PU-1205,2026-08-17,Breakfast Cereal 18oz,266,cases,Werner Enterprises,2026-08-17 09:00,2026-08-17 09:44,2026-08-17 11:11
PU-1206,2026-08-17,Vinyl Gloves Box-100,376,cases,TForce Freight,2026-08-17 09:30,2026-08-17 09:53,2026-08-17 10:57
PU-1207,2026-08-17,Bottled Water 24-Pack,30,cases,Saia,2026-08-17 10:00,2026-08-17 09:45,2026-08-17 10:30
PU-1208,2026-08-17,LED Light Bulbs 60W,71,cases,J.B. Hunt,2026-08-17 11:00,2026-08-17 10:52,2026-08-17 12:08
PU-1209,2026-08-17,Vinyl Gloves Box-100,150,cases,Saia,2026-08-17 12:00,2026-08-17 11:55,2026-08-17 12:45
PU-1210,2026-08-17,Ceramic Floor Tile,3,pallets,Werner Enterprises,2026-08-17 13:30,2026-08-17 13:04,2026-08-17 14:02
PU-1211,2026-08-17,LED Light Bulbs 60W,386,cases,Werner Enterprises,2026-08-17 15:00,2026-08-17 16:44,2026-08-17 18:16
PU-1212,2026-08-17,Paper Towels 12-Roll,6,pallets,FedEx Freight,2026-08-17 16:00,2026-08-17 15:54,2026-08-17 16:48
PU-1213,2026-08-18,Breakfast Cereal 18oz,242,cases,TForce Freight,2026-08-18 08:00,2026-08-18 08:07,2026-08-18 09:27
PU-1214,2026-08-18,LED Light Bulbs 60W,31,cases,Schneider,2026-08-18 09:30,2026-08-18 09:24,2026-08-18 10:04
PU-1215,2026-08-18,Office Chairs,112,units,Dayton Freight,2026-08-18 10:00,2026-08-18 09:42,2026-08-18 10:55
PU-1216,2026-08-18,Garden Hoses 50ft,49,units,FedEx Freight,2026-08-18 10:30,2026-08-18 10:22,2026-08-18 11:14
PU-1217,2026-08-18,LED Light Bulbs 60W,164,cases,TForce Freight,2026-08-18 10:30,2026-08-18 10:41,2026-08-18 11:49
PU-1218,2026-08-18,LED Light Bulbs 60W,317,cases,Schneider,2026-08-18 12:00,2026-08-18 11:59,2026-08-18 13:37
PU-1219,2026-08-18,Copy Paper 8.5x11,16,pallets,XPO,2026-08-18 12:00,2026-08-18 12:17,2026-08-18 13:23
PU-1220,2026-08-18,Ceramic Floor Tile,24,pallets,Schneider,2026-08-18 12:30,2026-08-18 11:33,2026-08-18 12:58
PU-1221,2026-08-18,Bottled Water 24-Pack,51,cases,Old Dominion Freight Line,2026-08-18 16:00,2026-08-18 15:34,2026-08-18 16:28
PU-1222,2026-08-18,Microwave Ovens 1.1cu ft,5,units,Schneider,2026-08-18 16:00,2026-08-18 16:00,2026-08-18 16:48
PU-1223,2026-08-18,Breakfast Cereal 18oz,42,cases,ABF Freight,2026-08-18 17:30,2026-08-18 17:26,2026-08-18 18:10
PU-1224,2026-08-18,Laundry Detergent 100oz,387,cases,XPO,2026-08-18 18:00,2026-08-18 20:15,2026-08-18 21:20
PU-1225,2026-08-18,HVAC Air Filters 20x20,354,cases,Schneider,2026-08-18 18:00,2026-08-18 18:07,2026-08-18 19:27
PU-1226,2026-08-19,LED Light Bulbs 60W,65,cases,Averitt Express,2026-08-19 07:30,2026-08-19 09:26,2026-08-19 10:17
PU-1227,2026-08-19,Ceramic Floor Tile,23,pallets,Old Dominion Freight Line,2026-08-19 10:30,2026-08-19 10:13,2026-08-19 11:20
PU-1228,2026-08-19,Bottled Water 24-Pack,258,cases,Knight-Swift,2026-08-19 11:00,2026-08-19 10:42,2026-08-19 11:58
PU-1229,2026-08-19,HVAC Air Filters 20x20,218,cases,Averitt Express,2026-08-19 11:00,2026-08-19 11:08,2026-08-19 11:54
PU-1230,2026-08-19,Laundry Detergent 100oz,215,cases,UPS,2026-08-19 13:30,2026-08-19 13:34,2026-08-19 14:54
PU-1231,2026-08-19,Dog Food 30lb Bags,17,pallets,UPS,2026-08-19 13:30,2026-08-19 13:21,2026-08-19 14:30
PU-1232,2026-08-19,Garden Hoses 50ft,28,units,Schneider,2026-08-19 15:00,2026-08-19 16:20,2026-08-19 16:46
PU-1233,2026-08-19,HVAC Air Filters 20x20,227,cases,ABF Freight,2026-08-19 17:00,2026-08-19 18:09,2026-08-19 19:05
PU-1234,2026-08-19,Bottled Water 24-Pack,367,cases,XPO,2026-08-19 17:30,2026-08-19 17:52,2026-08-19 19:02
PU-1235,2026-08-19,LED Light Bulbs 60W,368,cases,Averitt Express,2026-08-19 18:00,2026-08-19 17:56,2026-08-19 18:43
PU-1236,2026-08-20,Garden Hoses 50ft,19,units,Knight-Swift,2026-08-20 07:00,2026-08-20 07:39,2026-08-20 08:04
PU-1237,2026-08-20,HVAC Air Filters 20x20,258,cases,XPO,2026-08-20 08:00,2026-08-20 08:06,2026-08-20 09:22
PU-1238,2026-08-20,Laundry Detergent 100oz,390,cases,FedEx Freight,2026-08-20 08:00,2026-08-20 07:57,2026-08-20 08:57
PU-1239,2026-08-20,Ceramic Floor Tile,6,pallets,R+L Carriers,2026-08-20 08:00,2026-08-20 07:47,2026-08-20 08:20
PU-1240,2026-08-20,Copy Paper 8.5x11,25,pallets,Dayton Freight,2026-08-20 09:30,2026-08-20 08:33,2026-08-20 09:13
PU-1241,2026-08-20,Canned Tomatoes 28oz,26,pallets,Dayton Freight,2026-08-20 09:30,2026-08-20 09:36,2026-08-20 11:25
PU-1242,2026-08-20,Laundry Detergent 100oz,234,cases,Old Dominion Freight Line,2026-08-20 09:30,2026-08-20 09:25,2026-08-20 10:37
PU-1243,2026-08-20,Office Chairs,110,units,Saia,2026-08-20 12:00,2026-08-20 12:06,2026-08-20 13:32
PU-1244,2026-08-20,Dog Food 30lb Bags,17,pallets,Dayton Freight,2026-08-20 14:00,2026-08-20 14:39,2026-08-20 16:09
PU-1245,2026-08-20,Office Chairs,52,units,FedEx Freight,2026-08-20 15:30,2026-08-20 17:32,2026-08-20 18:12
PU-1246,2026-08-20,Office Chairs,54,units,Estes Express Lines,2026-08-20 18:00,2026-08-20 18:02,2026-08-20 18:57
PU-1247,2026-08-21,Paper Towels 12-Roll,14,pallets,TForce Freight,2026-08-21 07:00,2026-08-21 06:55,2026-08-21 07:42
PU-1248,2026-08-21,Paper Towels 12-Roll,13,pallets,Averitt Express,2026-08-21 08:00,2026-08-21 07:44,2026-08-21 08:35
PU-1249,2026-08-21,Microwave Ovens 1.1cu ft,75,units,Old Dominion Freight Line,2026-08-21 08:00,2026-08-21 08:26,2026-08-21 09:05
PU-1250,2026-08-21,Paper Towels 12-Roll,19,pallets,Old Dominion Freight Line,2026-08-21 08:30,2026-08-21 10:17,2026-08-21 11:51
PU-1251,2026-08-21,Motor Oil 5qt,193,cases,J.B. Hunt,2026-08-21 13:00,2026-08-21 14:53,2026-08-21 15:58
PU-1252,2026-08-21,Motor Oil 5qt,316,cases,Knight-Swift,2026-08-21 14:30,2026-08-21 16:16,2026-08-21 17:48
PU-1253,2026-08-21,Office Chairs,47,units,TForce Freight,2026-08-21 15:00,2026-08-21 14:44,2026-08-21 15:09
PU-1254,2026-08-21,Office Chairs,20,units,R+L Carriers,2026-08-21 15:30,2026-08-21 15:03,2026-08-21 15:39
PU-1255,2026-08-21,Copy Paper 8.5x11,15,pallets,XPO,2026-08-21 15:30,2026-08-21 17:27,2026-08-21 18:29
PU-1256,2026-08-21,Copy Paper 8.5x11,9,pallets,TForce Freight,2026-08-21 16:00,2026-08-21 17:48,2026-08-21 18:28
PU-1257,2026-08-21,Breakfast Cereal 18oz,306,cases,R+L Carriers,2026-08-21 17:00,2026-08-21 17:03,2026-08-21 18:06
PU-1258,2026-08-21,Office Chairs,19,units,Knight-Swift,2026-08-21 17:30,2026-08-21 17:26,2026-08-21 18:08
PU-1259,2026-08-24,Office Chairs,26,units,Estes Express Lines,2026-08-24 07:00,2026-08-24 07:05,2026-08-24 07:42
PU-1260,2026-08-24,Copy Paper 8.5x11,9,pallets,Estes Express Lines,2026-08-24 08:30,2026-08-24 08:36,2026-08-24 09:01
PU-1261,2026-08-24,Canned Tomatoes 28oz,24,pallets,Saia,2026-08-24 09:00,2026-08-24 08:52,2026-08-24 10:03
PU-1262,2026-08-24,Bottled Water 24-Pack,350,cases,J.B. Hunt,2026-08-24 09:00,2026-08-24 08:58,2026-08-24 10:28
PU-1263,2026-08-24,HVAC Air Filters 20x20,156,cases,FedEx Freight,2026-08-24 10:00,2026-08-24 09:58,2026-08-24 11:04
PU-1264,2026-08-24,Paper Towels 12-Roll,11,pallets,FedEx Freight,2026-08-24 11:00,2026-08-24 10:47,2026-08-24 11:22
PU-1265,2026-08-24,Dog Food 30lb Bags,6,pallets,Werner Enterprises,2026-08-24 11:30,2026-08-24 13:23,2026-08-24 14:06
PU-1266,2026-08-24,HVAC Air Filters 20x20,81,cases,ABF Freight,2026-08-24 13:00,2026-08-24 12:59,2026-08-24 13:42
PU-1267,2026-08-24,Microwave Ovens 1.1cu ft,44,units,UPS,2026-08-24 15:00,2026-08-24 15:04,2026-08-24 15:33
PU-1268,2026-08-24,Dog Food 30lb Bags,17,pallets,UPS,2026-08-24 16:00,2026-08-24 15:44,2026-08-24 16:40
PU-1269,2026-08-24,Breakfast Cereal 18oz,86,cases,Saia,2026-08-24 16:00,2026-08-24 15:56,2026-08-24 16:28
PU-1270,2026-08-25,HVAC Air Filters 20x20,184,cases,Knight-Swift,2026-08-25 06:00,2026-08-25 06:04,2026-08-25 06:41
PU-1271,2026-08-25,Laundry Detergent 100oz,340,cases,Saia,2026-08-25 08:30,2026-08-25 07:35,2026-08-25 09:17
PU-1272,2026-08-25,Dog Food 30lb Bags,6,pallets,Saia,2026-08-25 09:00,2026-08-25 09:06,2026-08-25 09:46
PU-1273,2026-08-25,Office Chairs,91,units,Estes Express Lines,2026-08-25 09:00,2026-08-25 08:49,2026-08-25 09:15
PU-1274,2026-08-25,Office Chairs,90,units,Dayton Freight,2026-08-25 10:00,2026-08-25 09:52,2026-08-25 10:50
PU-1275,2026-08-25,Motor Oil 5qt,173,cases,Saia,2026-08-25 11:00,2026-08-25 10:48,2026-08-25 12:08
PU-1276,2026-08-25,Garden Hoses 50ft,53,units,TForce Freight,2026-08-25 11:00,2026-08-25 10:57,2026-08-25 11:46
PU-1277,2026-08-25,Copy Paper 8.5x11,21,pallets,Saia,2026-08-25 13:00,2026-08-25 15:09,2026-08-25 16:11
PU-1278,2026-08-25,LED Light Bulbs 60W,117,cases,ABF Freight,2026-08-25 16:00,2026-08-25 16:40,2026-08-25 18:14
PU-1279,2026-08-25,Microwave Ovens 1.1cu ft,103,units,J.B. Hunt,2026-08-25 18:00,2026-08-25 17:13,2026-08-25 18:00
PU-1280,2026-08-25,Microwave Ovens 1.1cu ft,95,units,Estes Express Lines,2026-08-25 18:00,2026-08-25 18:49,2026-08-25 19:14
PU-1281,2026-08-25,LED Light Bulbs 60W,106,cases,TForce Freight,2026-08-25 18:00,2026-08-25 18:30,2026-08-25 19:05
PU-1282,2026-08-26,Bottled Water 24-Pack,354,cases,Estes Express Lines,2026-08-26 07:00,2026-08-26 07:06,2026-08-26 08:31
PU-1283,2026-08-26,Paper Towels 12-Roll,12,pallets,XPO,2026-08-26 07:30,2026-08-26 07:30,2026-08-26 08:43
PU-1284,2026-08-26,Vinyl Gloves Box-100,170,cases,Dayton Freight,2026-08-26 07:30,2026-08-26 09:25,2026-08-26 10:28
PU-1285,2026-08-26,Canned Tomatoes 28oz,18,pallets,Saia,2026-08-26 07:30,2026-08-26 07:34,2026-08-26 08:59
PU-1286,2026-08-26,Paper Towels 12-Roll,22,pallets,Averitt Express,2026-08-26 11:30,2026-08-26 12:40,2026-08-26 14:22
PU-1287,2026-08-26,Office Chairs,13,units,UPS,2026-08-26 13:30,2026-08-26 13:32,2026-08-26 14:13
PU-1288,2026-08-26,Paper Towels 12-Roll,21,pallets,J.B. Hunt,2026-08-26 15:00,2026-08-26 16:09,2026-08-26 17:34
PU-1289,2026-08-26,Laundry Detergent 100oz,313,cases,Saia,2026-08-26 15:00,2026-08-26 15:04,2026-08-26 16:27
PU-1290,2026-08-26,Office Chairs,57,units,Saia,2026-08-26 15:30,2026-08-26 15:24,2026-08-26 15:57
PU-1291,2026-08-26,Microwave Ovens 1.1cu ft,45,units,Dayton Freight,2026-08-26 17:30,2026-08-26 16:22,2026-08-26 17:16
PU-1292,2026-08-26,Garden Hoses 50ft,10,units,R+L Carriers,2026-08-26 18:00,2026-08-26 17:44,2026-08-26 18:23
PU-1293,2026-08-27,Office Chairs,116,units,FedEx Freight,2026-08-27 06:00,2026-08-27 05:33,2026-08-27 06:53
PU-1294,2026-08-27,Ceramic Floor Tile,4,pallets,FedEx Freight,2026-08-27 08:30,2026-08-27 08:42,2026-08-27 09:16
PU-1295,2026-08-27,Bottled Water 24-Pack,153,cases,UPS,2026-08-27 08:30,2026-08-27 08:18,2026-08-27 09:11
PU-1296,2026-08-27,Dog Food 30lb Bags,22,pallets,ABF Freight,2026-08-27 09:00,2026-08-27 08:44,2026-08-27 09:26
PU-1297,2026-08-27,Office Chairs,13,units,Old Dominion Freight Line,2026-08-27 09:30,2026-08-27 09:31,2026-08-27 10:00
PU-1298,2026-08-27,HVAC Air Filters 20x20,52,cases,Werner Enterprises,2026-08-27 11:00,2026-08-27 10:59,2026-08-27 11:38
PU-1299,2026-08-27,HVAC Air Filters 20x20,291,cases,FedEx Freight,2026-08-27 11:00,2026-08-27 10:44,2026-08-27 11:39
PU-1300,2026-08-27,Microwave Ovens 1.1cu ft,95,units,Saia,2026-08-27 12:30,2026-08-27 12:47,2026-08-27 13:18
PU-1301,2026-08-27,HVAC Air Filters 20x20,281,cases,J.B. Hunt,2026-08-27 12:30,2026-08-27 12:33,2026-08-27 13:56
PU-1302,2026-08-27,Vinyl Gloves Box-100,192,cases,Knight-Swift,2026-08-27 15:30,2026-08-27 16:07,2026-08-27 17:26
PU-1303,2026-08-27,Canned Tomatoes 28oz,9,pallets,Schneider,2026-08-27 15:30,2026-08-27 15:57,2026-08-27 16:49
PU-1304,2026-08-27,Canned Tomatoes 28oz,19,pallets,J.B. Hunt,2026-08-27 15:30,2026-08-27 15:18,2026-08-27 16:22
PU-1305,2026-08-28,Microwave Ovens 1.1cu ft,68,units,Old Dominion Freight Line,2026-08-28 07:00,2026-08-28 07:20,2026-08-28 08:09
PU-1306,2026-08-28,Breakfast Cereal 18oz,374,cases,TForce Freight,2026-08-28 08:30,2026-08-28 08:17,2026-08-28 10:04
PU-1307,2026-08-28,Microwave Ovens 1.1cu ft,64,units,Knight-Swift,2026-08-28 08:30,2026-08-28 09:50,2026-08-28 10:52
PU-1308,2026-08-28,HVAC Air Filters 20x20,386,cases,TForce Freight,2026-08-28 10:00,2026-08-28 10:12,2026-08-28 11:28
PU-1309,2026-08-28,Microwave Ovens 1.1cu ft,79,units,FedEx Freight,2026-08-28 11:00,2026-08-28 10:38,2026-08-28 11:16
PU-1310,2026-08-28,HVAC Air Filters 20x20,78,cases,XPO,2026-08-28 11:30,2026-08-28 11:30,2026-08-28 12:10
PU-1311,2026-08-28,HVAC Air Filters 20x20,137,cases,FedEx Freight,2026-08-28 15:00,2026-08-28 14:37,2026-08-28 15:36
PU-1312,2026-08-28,Copy Paper 8.5x11,20,pallets,TForce Freight,2026-08-28 15:30,2026-08-28 17:32,2026-08-28 18:39
PU-1313,2026-08-28,Office Chairs,34,units,Knight-Swift,2026-08-28 16:00,2026-08-28 16:07,2026-08-28 16:55
PU-1314,2026-08-28,Laundry Detergent 100oz,149,cases,J.B. Hunt,2026-08-28 16:00,2026-08-28 17:11,2026-08-28 18:13
PU-1315,2026-08-28,Garden Hoses 50ft,82,units,Dayton Freight,2026-08-28 16:30,2026-08-28 16:40,2026-08-28 17:16
PU-1316,2026-08-28,Garden Hoses 50ft,110,units,Schneider,2026-08-28 18:00,2026-08-28 17:47,2026-08-28 18:46
